,timestamp,date,bus_id,block_id,route_id,trip_id,total_dist_block,left_miles_trip,left_miles,current_range,current_soc,pred_end_trip_miles,pred_end_block_miles,pred_end_trip_soc,pred_end_block_soc,avg_kwh_mile,energy_used,avg_speed,max_speed,current_temp
0,1750448943,2025-06-20,2401,202,2,37020,213.88,11.3184,113.602,127.11,65.2,116.16,21.7383,59.5833,11.1505,1.9206,194.411,13.2834,42.9447,21.8611
1,1750448944,2025-06-20,2402,302,3,245020,176.319,5.10761,91.5616,147.617,72.0,143.528,57.9498,70.0053,28.2649,1.98302,165.168,11.7009,45.9963,21.8611
2,1750448946,2025-06-20,2403,3102,2,203020,180.765,7.30125,85.7836,150.435,68.8,142.736,63.6628,65.2792,29.1157,1.97074,182.625,13.7882,45.3375,21.8611
3,1750448947,2025-06-20,2404,3202,2,504020,188.701,21.0302,108.132,134.703,73.2,116.188,41.408,63.1386,22.5019,1.84028,147.482,13.1101,44.1847,21.8611
4,1750448947,2025-06-20,2406,2302,3,341020,166.79,11.6211,92.6378,173.594,75.2,163.376,76.16,70.7735,32.9921,1.80779,132.824,13.0004,46.5484,21.8611
